grid_point, number_obs_available, analysis_value
[0, 0],18.0,5299.478304630535
[0, 1],15.0,5316.072344050829
[0, 2],15.0,5332.215185150684
[0, 3],16.0,5350.201506508754
[0, 4],16.0,5370.841027704914
[0, 5],14.0,5391.582594923233
[0, 6],15.0,5408.066178057999
[0, 7],14.0,5422.311897825894
[0, 8],16.0,5436.4324937507845
[0, 9],15.0,5448.6977880428185
[0, 10],14.0,5459.01592307196
[0, 11],15.0,5467.0272805936
[0, 12],15.0,5477.379038634598
[0, 13],15.0,5490.55717128282
[0, 14],14.0,5502.345085396326
[0, 15],13.0,5515.072711347812
[0, 16],13.0,5529.069775707489
[0, 17],13.0,5542.927242912741
[0, 18],13.0,5558.738396871891
[0, 19],10.0,5575.144520150157
[0, 20],9.0,5587.70030511049
[0, 21],8.0,5599.790425780123
[1, 0],16.0,5302.294616269392
[1, 1],15.0,5317.4990277789475
[1, 2],15.0,5333.885034990114
[1, 3],16.0,5351.108251775192
[1, 4],16.0,5370.259532655681
[1, 5],15.0,5387.44398021601
[1, 6],16.0,5403.021434517853
[1, 7],17.0,5417.278044116939
[1, 8],18.0,5432.146772082822
[1, 9],17.0,5442.928522426432
[1, 10],18.0,5452.206106647025
[1, 11],17.0,5459.898497322396
[1, 12],19.0,5471.168042097208
[1, 13],18.0,5483.092701238205
[1, 14],17.0,5494.149198224321
[1, 15],17.0,5506.808531227569
[1, 16],16.0,5520.62137082596
[1, 17],14.0,5534.627034115754
[1, 18],13.0,5548.459750243458
[1, 19],12.0,5564.234090876357
[1, 20],10.0,5577.394121927505
[1, 21],8.0,5587.835273428859
[2, 0],15.0,5300.208714093522
[2, 1],15.0,5314.463098839483
[2, 2],15.0,5331.297790006352
[2, 3],17.0,5349.252245887394
[2, 4],16.0,5366.7751728669955
[2, 5],17.0,5383.49602176191
[2, 6],17.0,5398.845699833687
[2, 7],19.0,5413.028054220751
[2, 8],19.0,5426.500521741147
[2, 9],17.0,5437.897697057406
[2, 10],19.0,5446.42711208005
[2, 11],20.0,5453.667990260166
[2, 12],20.0,5464.564149535817
[2, 13],19.0,5476.285320276874
[2, 14],19.0,5487.28417506831
[2, 15],19.0,5499.763907735432
[2, 16],18.0,5512.880646644298
[2, 17],16.0,5526.630838303556
[2, 18],15.0,5539.0745256886
[2, 19],15.0,5553.647078115919
[2, 20],12.0,5568.544067007711
[2, 21],8.0,5580.478085710097
[3, 0],14.0,5292.400935287861
[3, 1],16.0,5306.765553027275
[3, 2],16.0,5325.246964847601
[3, 3],18.0,5344.756980260097
[3, 4],17.0,5363.739346078296
[3, 5],17.0,5379.485989177326
[3, 6],19.0,5394.680235661919
[3, 7],19.0,5408.838177836792
[3, 8],20.0,5420.774788328694
[3, 9],22.0,5432.87396289571
[3, 10],21.0,5441.9345795178115
[3, 11],24.0,5448.856829061053
[3, 12],25.0,5458.796975175161
[3, 13],28.0,5469.416118744714
[3, 14],25.0,5480.680000787181
[3, 15],22.0,5492.107235121746
[3, 16],22.0,5504.508380129481
[3, 17],20.0,5517.804971187929
[3, 18],17.0,5530.282848159804
[3, 19],15.0,5542.737039951997
[3, 20],14.0,5556.48932920655
[3, 21],11.0,5570.4119503527
[4, 0],16.0,5282.6452768866975
[4, 1],15.0,5297.9543054276655
[4, 2],18.0,5316.0767652032755
[4, 3],18.0,5337.352917499859
[4, 4],19.0,5359.496126223641
[4, 5],17.0,5375.399675089204
[4, 6],19.0,5391.793095359246
[4, 7],22.0,5406.748237319029
[4, 8],23.0,5418.319841218971
[4, 9],26.0,5430.082838590221
[4, 10],27.0,5439.807203434563
[4, 11],25.0,5445.63978771914
[4, 12],28.0,5454.197447025735
[4, 13],29.0,5464.397058774224
[4, 14],26.0,5474.58792648548
[4, 15],26.0,5485.179652238782
[4, 16],23.0,5496.805792356875
[4, 17],21.0,5509.39115537955
[4, 18],19.0,5521.422673478482
[4, 19],16.0,5534.41128198795
[4, 20],13.0,5546.630872592553
[4, 21],13.0,5558.901698405748
[5, 0],14.0,5270.751974746682
[5, 1],14.0,5287.759565997914
[5, 2],18.0,5307.184109075296
[5, 3],18.0,5329.648897383503
[5, 4],20.0,5351.346678511572
[5, 5],19.0,5371.722179427207
[5, 6],23.0,5391.669669737697
[5, 7],22.0,5407.143987914492
[5, 8],25.0,5419.18723033734
[5, 9],29.0,5430.313078537558
[5, 10],28.0,5440.093255379358
[5, 11],28.0,5445.140716611518
[5, 12],31.0,5452.291616509098
[5, 13],30.0,5461.331718523717
