grid_point, diff2-1, diff3-1, diff3-2
[0, 0],-19.25956809332547,4.812755827768342,24.072323921093812
[0, 1],-5.488412995094222,21.4524635743237,26.940876569417924
[0, 2],2.7348074022474975,30.407512510918423,27.672705108670925
[0, 3],12.523184070766547,48.072694383930866,35.54951031316432
[0, 4],20.18061208270683,55.18872840204949,35.00811631934266
[0, 5],29.640578835822453,59.09313022375227,29.452551387929816
[0, 6],37.14951045080852,65.27766160092233,28.12815115011381
[0, 7],40.51087768361322,69.10763996941387,28.59676228580065
[0, 8],39.4355982718389,67.3906248065905,27.955026534751596
[0, 9],39.73790896317314,61.91356131043722,22.175652347264077
[0, 10],39.57875561229048,57.48838794558196,17.909632333291484
[0, 11],39.00940301130595,60.4953607298894,21.48595771858345
[0, 12],41.944304253181144,68.29929446021833,26.35499020703719
[0, 13],46.861596675078545,81.1927376480653,34.33114097298676
[0, 14],54.69547233040794,101.42338321588704,46.727910885479105
[0, 15],62.47622859601961,117.19021444536156,54.71398584934195
[0, 16],71.175143680779,127.23202918076277,56.056885499983764
[0, 17],79.77171180015557,135.82859730013934,56.056885499983764
[0, 18],91.57338492241706,145.92514148575174,54.351756563334675
[0, 19],94.81307263477811,133.9757439187324,39.162671283954296
[0, 20],94.7441014512342,nan,nan
[0, 21],94.87809478333475,nan,nan
[1, 0],-25.631532655416777,-12.136600596420976,13.4949320589958
[1, 1],-13.66969714940933,-6.55816364302882,7.1115335063805105
[1, 2],-5.390064024501044,-2.4868776355842783,2.9031863889167653
[1, 3],4.946147305119666,9.706014723744374,4.759867418624708
[1, 4],13.14877522637471,21.898026001171274,8.749250774796565
[1, 5],21.250617688674538,35.60538582314257,14.354768134468031
[1, 6],26.8787449087622,42.356060689411606,15.477315780649405
[1, 7],30.51580744432431,51.445894093026254,20.930086648701945
[1, 8],31.57405052026388,57.28453009815439,25.71047957789051
[1, 9],29.371146429319197,49.91046420233033,20.539317773011135
[1, 10],27.98270378547204,46.26787258387776,18.28516879840572
[1, 11],27.064275186990926,48.39904885353917,21.334773666548244
[1, 12],28.127566102519268,53.975403819870735,25.847837717351467
[1, 13],33.19187430902002,64.91074207181282,31.718867762792797
[1, 14],37.219275858513356,76.00766459352326,38.7883887350099
[1, 15],45.996155035369156,90.29902622076679,44.302871185397635
[1, 16],59.11789552911068,110.93441830993925,51.816522780828564
[1, 17],66.24384127783196,119.38191838459352,53.13807710676156
[1, 18],74.52697841607278,118.16859811961785,43.641619703545075
[1, 19],85.11429837596734,121.31203227463266,36.19773389866532
[1, 20],92.94205095517191,129.96761404071822,37.02556308554631
[1, 21],94.10454151464364,133.26721279859794,39.162671283954296
[2, 0],-36.527543286937544,-38.986691463583156,-2.4591481766456127
[2, 1],-25.16168250440751,-38.23687740870446,-13.07519490429695
[2, 2],-17.71673590145383,-42.877033142553955,-25.160297241100125
[2, 3],-8.722255855003823,-26.706335014121578,-17.984079159117755
[2, 4],0.939850788037802,-10.891154848446604,-11.831005636484406
[2, 5],11.0374755127159,4.884887148027701,-6.152588364688199
[2, 6],15.182009686894162,16.715177458344442,1.5331677714502803
[2, 7],18.919241000839975,31.89515684440903,12.975915843569055
[2, 8],18.86372389378812,36.16679706558352,17.303073171795404
[2, 9],17.467713141025342,29.499270659181093,12.03155751815575
[2, 10],15.800840962121583,28.797943977901014,12.99710301577943
[2, 11],12.667833780358706,28.712128857639982,16.044295077281276
[2, 12],13.06752007068826,30.836391963511232,17.768871892822972
[2, 13],15.67311725837044,36.80816219024382,21.13504493187338
[2, 14],18.515871360292294,47.140071875376634,28.62420051508434
[2, 15],28.47582394587971,60.77061276788936,32.29478882200965
[2, 16],42.72369418514518,80.8218407108634,38.09814652571822
[2, 17],54.05255809004393,93.80042539938495,39.74786730934102
[2, 18],63.83017979620308,99.83443399529733,36.00425419909425
[2, 19],74.63854212912975,107.85170431303595,33.213162183906206
[2, 20],82.36851437140103,115.4004334765632,33.03191910516216
[2, 21],93.37900959113449,126.89381296367173,33.514803372537244
[3, 0],-46.56505638414728,-55.4354200681737,-8.870363684026415
[3, 1],-37.7775285788648,-58.71135126679383,-20.933822687929023
[3, 2],-30.267853721173196,-54.89575464561858,-24.627900924445385
[3, 3],-22.78015314924778,-45.643093696755386,-22.862940547507606
[3, 4],-13.177973176912928,-31.12041403711828,-17.942440860205352
[3, 5],-3.5211626273539878,-14.33343520560993,-10.812272578255943
[3, 6],3.4757566002936073,-3.4606855601068673,-6.936442160400475
[3, 7],5.774190591337174,2.3098414373635023,-3.4643491539736715
[3, 8],3.6031309412719565,-2.7561836166096327,-6.359314557881589
[3, 9],2.724154084896327,-2.1727372526838735,-4.8968913375802
[3, 10],-0.459871954436494,-7.486623681512356,-7.026751727075862
[3, 11],-4.905148533870488,-8.713088114838683,-3.8079395809681955
[3, 12],-2.9965826403231404,-1.8671172936792573,1.129465346643883
[3, 13],-1.32563324797502,-1.8169545247164933,-0.4913212767414734
[3, 14],1.8235402793034154,8.37426046544715,6.550720186143735
[3, 15],11.189799433022017,22.0665888448666,10.876789411844584
[3, 16],23.15104156518919,31.127087162988573,7.976045597799384
[3, 17],37.31821369759655,49.31736817318597,11.999154475589421
[3, 18],50.50344339269486,70.04394584567672,19.540502452981855
[3, 19],59.55398268503268,88.72513754444844,29.171154859415765
[3, 20],68.64030700674812,99.99030646364099,31.349999456892874
[3, 21],81.62386368090665,112.64425805776955,31.020394376862896
[4, 0],-53.58218876587398,-64.17516998746032,-10.592981221586342
[4, 1],-47.832311884018054,-68.01224125916815,-20.179929375150095
[4, 2],-42.85493016665623,-63.7240516619695,-20.869121495313266
[4, 3],-35.08423024015974,-56.10908194538297,-21.024851705223227
[4, 4],-26.845330951347933,-36.938286049916314,-10.092955098568382
[4, 5],-18.51704770231663,-19.506930751913387,-0.9898830495967559
[4, 6],-11.879623926664863,-11.109195391321009,0.7704285353438536
[4, 7],-8.095746898871766,-13.967237156456576,-5.87149025758481
[4, 8],-10.966896269211247,-31.701289692261525,-20.734393423050278
[4, 9],-13.015768100734022,-37.11529941367462,-24.0995313129406
[4, 10],-17.436209728411086,-40.71046709609345,-23.274257367682367
[4, 11],-19.521634996121975,-43.365957242438526,-23.84432224631655
[4, 12],-18.943050884109653,-39.92477721582054,-20.981726331710888
[4, 13],-17.74232265413957,-32.8659745808618,-15.123651926722232
[4, 14],-15.63760679168172,-27.03181189458701,-11.394205102905289
[4, 15],-6.071719546554959,-18.42955145963515,-12.35783191308019
[4, 16],6.329201761973309,-14.096047437283232,-20.42524919925654
[4, 17],23.123112144825427,13.40289861186011,-9.720213532965317
[4, 18],37.81946912581407,44.63009055011662,6.810621424302553
[4, 19],47.90902008488683,68.57865098418733,20.6696308993005
[4, 20],55.633315214522554,85.4114969975235,29.778181783000946
[4, 21],65.85063328777778,94.80576961982479,28.955136332047005
[5, 0],-60.428722983273474,-74.89991081825065,-14.471187834977172
[5, 1],-54.60550997649534,-70.5175844810683,-15.912074504572956
[5, 2],-47.38863491938628,-64.2956456426864,-16.907010723300118
[5, 3],-40.63256127362092,-54.686228629105244,-14.053667355484322
[5, 4],-34.28003883800557,-34.2499967252179,0.030042112787668884
[5, 5],-29.291127663031148,-21.058055088878064,8.233072574153084
[5, 6],-23.838006300215966,-14.86074101095619,8.977265289259776
[5, 7],-20.542932961515362,-20.38473112524116,0.15820183627420192
[5, 8],-23.72558711137026,-35.52857375624535,-11.80298664487509
[5, 9],-27.44247291713964,-44.27948341572028,-16.83701049858064
[5, 10],-29.209038396786127,-48.59730252344252,-19.388264126656395
[5, 11],-30.44616510115975,-53.9785171739677,-23.532352072807953
[5, 12],-32.47743625800831,-53.846170958591756,-21.368734700583445
[5, 13],-31.22183003720056,-46.63409932486138,-15.41226928766082
[5, 14],-29.74997503292525,-41.80813248949744,-12.05815745657219
[5, 15],-22.015848949313295,-37.2945349782276,-15.278686028914308
[5, 16],-7.076154882302035,-34.8819584830253,-27.805803600723266
[5, 17],9.1757539020482,-19.254048362948197,-28.429802264996397
[5, 18],24.658285494951087,15.163186173630493,-9.495099321320595
[5, 19],38.684957792233945,50.02406210814206,11.339104315908116
[5, 20],46.22852477606557,77.81098526338064,31.582460487315075
[5, 21],54.49757127765861,82.62389074400835,28.12631946634974
[6, 0],-69.88357418930082,-84.35476202427799,-14.471187834977172
[6, 1],-62.54181510519902,-77.0130029401762,-14.471187834977172
[6, 2],-52.796038822872106,-67.26722665784928,-14.471187834977172
[6, 3],-44.39829379569801,-56.00447302511475,-11.606179229416739
[6, 4],-37.74827358579569,-37.25782834010079,0.4904452456949002
[6, 5],-31.338221627760504,-21.363497395879676,9.974724231880828
[6, 6],-27.250780847742135,-17.276056615861307,9.974724231880828
[6, 7],-26.088510850559942,-21.2685470116312,4.819963838928743
[6, 8],-29.671961404088506,-34.053751350461425,-4.381789946372919
[6, 9],-33.03061583196995,-40.583032932631795,-7.552417100661842
[6, 10],-35.57814266219066,-45.59069624125095,-10.012553579060295
[6, 11],-37.39659391136411,-47.372824966288135,-9.976231054924028
[6, 12],-39.57605573158526,-48.830959761666236,-9.25490403008098
[6, 13],-41.73957658450581,-50.51309080266219,-8.773514218156379
[6, 14],-42.13347017298929,-49.66289271196456,-7.529422538975268
[6, 15],-37.31628018683932,-50.944836542499615,-13.628556355660294
[6, 16],-21.187307452910318,-48.46587543659916,-27.278567983688845
[6, 17],-4.717103154846882,-37.87837251550536,-33.16126936065848
[6, 18],10.040835117689312,1.976581471195459,-8.064253646493853
[6, 19],24.26994160474169,37.15402527572678,12.884083670985092
[6, 20],32.82549331422524,65.23729751883184,32.4118042046066
[6, 21],42.05134820708372,81.70368299905022,39.652334791966496
[7, 0],-77.24858432705787,-89.99450521489871,-12.745920887840839
[7, 1],-68.05230332352039,-82.52349115849756,-14.471187834977172
[7, 2],-55.67839968390763,-70.1495875188848,-14.471187834977172
[7, 3],-47.00030052919101,-61.47148836416818,-14.471187834977172
[7, 4],-41.05951504399491,-42.1964778265301,-1.1369627825351927
[7, 5],-32.92736991242964,-24.916793881495323,8.010576030934317
[7, 6],-28.654331110757084,-18.679606878876257,9.974724231880828
[7, 7],-25.998184958528327,-20.664486043207944,5.333698915320383
[7, 8],-26.144529131970558,-24.273953462285135,1.8705756696854223
[7, 9],-27.54737229780949,-27.51321923971318,0.03415305809630809
[7, 10],-31.162512767726184,-28.637691542046014,2.5248212256801708
[7, 11],-37.09064325779491,-31.04111882222969,6.049524435565218
[7, 12],-41.28948793223117,-38.16630686110966,3.1231810711215076
[7, 13],-43.820703750935536,-42.787457618979715,1.0332461319558206
[7, 14],-46.16536516431552,-46.78584806836352,-0.6204829040480035
[7, 15],-43.72162569566444,-50.731308129826175,-7.009682434161732
[7, 16],-32.86119265608613,-52.8315808143434,-19.970388158257265
[7, 17],-17.16273584307146,-37.60869915729745,-20.445963314225992
[7, 18],-1.088556425108436,0.004720408025605138,1.0932768331340412
[7, 19],10.867576261041904,33.28193914071744,22.414362879675537
[7, 20],19.37324322647237,53.90708883689422,34.53384561042185
[7, 21],27.886255734062615,67.79916774111916,39.91291200705655
[8, 0],-75.55446220153226,-64.59208996190046,10.962372239631804
[8, 1],-66.57692410508662,-77.06757211012427,-10.490648005037656
[8, 2],-56.96888563813445,-71.44007347311162,-14.471187834977172
[8, 3],-47.926981927565066,-59.6096599839575,-11.682678056392433
[8, 4],-40.899255113001345,-48.83980103713202,-7.940545924130674
[8, 5],-33.68234182235483,-38.37234049137078,-4.689998669015949
[8, 6],-26.269492166001328,-27.971564781310008,-1.7020726153086798
[8, 7],-23.41146610521446,-21.24256705717289,2.168899048041567
[8, 8],-21.771381061569627,-19.16183533502499,2.6095457265446385
[8, 9],-21.83125480767012,-19.34844787320253,2.4828069344675896
[8, 10],-27.399197910224757,-22.988854061623897,4.41034384860086
[8, 11],-33.82606120370201,-26.613241245202516,7.2128199584994945
[8, 12],-39.55150507169947,-31.540953683037515,8.010551388661952
[8, 13],-44.99693512842987,-45.271225177092674,-0.27429004866280593
[8, 14],-48.5886682692244,-52.773531236806775,-4.184862967582376
[8, 15],-49.082459064554314,-57.537577294162475,-8.45511822960816
[8, 16],-42.89646855873616,-62.93911194341763,-20.04264338468147
[8, 17],-31.334548697557693,-50.57925252953282,-19.24470383197513
[8, 18],-16.139998103703874,-16.248489920155407,-0.10849181645153294
[8, 19],-2.846370421020765,13.08432014583741,15.930690566858175
[8, 20],6.0894632134240965,35.372547926753214,29.283084713329117
[8, 21],15.192494827760129,47.6938006468863,32.50130581912617
[9, 0],-72.21480397074356,-55.16179657771954,17.053007393024018
[9, 1],-62.635678752166314,-45.04987058681945,17.58580816534686
[9, 2],-56.170183816755525,-40.36141683443566,15.808766982319867
[9, 3],-48.1367374419242,-50.68815359721884,-2.551416155294646
[9, 4],-40.807202984906326,-48.747748909037,-7.940545924130674
[9, 5],-32.48387781164911,-40.42442373577978,-7.940545924130674
