grid_point, number_obs_available, analysis_value
[0, 0],3.0,5304.291060458303
[0, 1],2.0,5337.524807625153
[0, 2],4.0,5362.622697661603
[0, 3],3.0,5398.274200892685
[0, 4],3.0,5426.029756106964
[0, 5],3.0,5450.675725146985
[0, 6],4.0,5473.343839658922
[0, 7],3.0,5491.419537795308
[0, 8],2.0,5503.823118557375
[0, 9],3.0,5510.611349353256
[0, 10],3.0,5516.504311017542
[0, 11],3.0,5527.52264132349
[0, 12],2.0,5545.6783330948165
[0, 13],3.0,5571.749908930885
[0, 14],2.0,5603.768468612213
[0, 15],2.0,5632.262925793174
[0, 16],1.0,5656.301804888251
[0, 17],1.0,5678.755840212881
[0, 18],2.0,5704.663538357643
[0, 19],1.0,5709.12026406889
[0, 20],0.0,nan
[0, 21],0.0,nan
[1, 0],3.0,5290.158015672971
[1, 1],3.0,5310.940864135919
[1, 2],3.0,5331.39815735453
[1, 3],3.0,5360.814266498936
[1, 4],4.0,5392.157558656852
[1, 5],3.0,5423.049366039152
[1, 6],4.0,5445.3774952072645
[1, 7],3.0,5468.723938209965
[1, 8],4.0,5489.431302180977
[1, 9],3.0,5492.8389866287625
[1, 10],3.0,5498.473979230903
[1, 11],3.0,5508.297546175935
[1, 12],2.0,5525.143445917079
[1, 13],4.0,5548.003443310018
[1, 14],3.0,5570.156862817844
[1, 15],3.0,5597.107557448336
[1, 16],2.0,5631.555789135899
[1, 17],2.0,5654.008952500348
[1, 18],3.0,5666.628348363076
[1, 19],2.0,5685.54612315099
[1, 20],2.0,5707.361735968223
[1, 21],1.0,5721.102486227457
[2, 0],3.0,5261.222022629939
[2, 1],3.0,5276.226221430778
[2, 2],1.0,5288.4207568637985
[2, 3],3.0,5322.545910873272
[2, 4],3.0,5355.884018018549
[2, 5],4.0,5388.380908909938
[2, 6],3.0,5415.560877292031
[2, 7],3.0,5444.92321106516
[2, 8],5.0,5462.667318806731
[2, 9],4.0,5467.396967716587
[2, 10],4.0,5475.225056057951
[2, 11],5.0,5482.380119117806
[2, 12],4.0,5495.400541499328
[2, 13],5.0,5513.093482467118
[2, 14],3.0,5534.424246943687
[2, 15],3.0,5560.534520503322
[2, 16],3.0,5593.702487355162
[2, 17],5.0,5620.431263702941
[2, 18],3.0,5638.908959683898
[2, 19],2.0,5661.498782428955
[2, 20],2.0,5683.944500484275
[2, 21],2.0,5707.371898673769
[3, 0],2.0,5236.965515219687
[3, 1],3.0,5248.054201760481
[3, 2],2.0,5270.351210201982
[3, 3],2.0,5299.113886563342
[3, 4],3.0,5332.618932041178
[3, 5],3.0,5365.152553971716
[3, 6],3.0,5391.219550101812
[3, 7],5.0,5411.148019274156
[3, 8],4.0,5418.018604712084
[3, 9],3.0,5430.701225643026
[3, 10],5.0,5434.447955836299
[3, 11],5.0,5440.143740946214
[3, 12],5.0,5456.929857881481
[3, 13],5.0,5467.599164219998
[3, 14],5.0,5489.054261252628
[3, 15],4.0,5514.173823966613
[3, 16],4.0,5535.63546729247
[3, 17],5.0,5567.122339361115
[3, 18],3.0,5600.326794005481
[3, 19],3.0,5631.462177496445
[3, 20],2.0,5656.479635670191
[3, 21],2.0,5683.0562084104695
[4, 0],3.0,5218.470106899237
[4, 1],2.0,5229.942064168497
[4, 2],2.0,5252.352713541306
[4, 3],4.0,5281.243835554476
[4, 4],4.0,5322.557840173725
[4, 5],3.0,5355.89274433729
[4, 6],2.0,5380.683899967925
[4, 7],3.0,5392.781000162572
[4, 8],2.0,5386.61855152671
[4, 9],4.0,5392.967539176547
[4, 10],4.0,5399.09673633847
[4, 11],4.0,5402.273830476702
[4, 12],7.0,5414.272669809914
[4, 13],5.0,5431.531084193362
[4, 14],5.0,5447.556114590893
[4, 15],5.0,5466.750100779147
[4, 16],4.0,5482.709744919592
[4, 17],5.0,5522.79405399141
[4, 18],4.0,5566.052764028598
[4, 19],3.0,5602.9899329721375
[4, 20],2.0,5632.042369590076
[4, 21],2.0,5653.707468025573
[5, 0],1.0,5195.852063928432
[5, 1],2.0,5217.241981516846
[5, 2],2.0,5242.88846343261
[5, 3],3.0,5274.962668754398
[5, 4],3.0,5317.096681786354
[5, 5],2.0,5350.664124338329
[5, 6],2.0,5376.808928726741
[5, 7],3.0,5386.759256789251
[5, 8],3.0,5383.658656581095
[5, 9],3.0,5386.033595121838
[5, 10],3.0,5391.495952855916
[5, 11],4.0,5391.16219943755
[5, 12],5.0,5398.4454455505065
[5, 13],4.0,5414.697619198856
[5, 14],5.0,5428.6880771311535
[5, 15],5.0,5442.43492659591
[5, 16],5.0,5455.1644047638065
[5, 17],4.0,5482.278846810203
[5, 18],6.0,5527.982161985239
[5, 19],6.0,5575.059809978474
[5, 20],4.0,5616.295204016662
[5, 21],4.0,5633.344256814398
[6, 0],1.0,5173.9101177882485
[6, 1],1.0,5200.597880425442
[6, 2],1.0,5231.309157499126
[6, 3],2.0,5265.975171913498
[6, 4],2.0,5307.859058767722
[6, 5],1.0,5350.024590436652
[6, 6],1.0,5376.072689251137
