grid_point, number_obs_available, analysis_value
[7, 21],8.0,5575.575116132142
[8, 0],4.0,5167.570048576936
[8, 1],5.0,5202.779483468669
[8, 2],5.0,5240.3836861305035
[8, 3],5.0,5278.684264277099
[8, 4],5.0,5317.593937941421
[8, 5],6.0,5352.776793424973
[8, 6],7.0,5383.2909885065465
[8, 7],10.0,5404.894781727712
[8, 8],10.0,5419.744045303125
[8, 9],12.0,5429.391200161096
[8, 10],16.0,5429.946644935973
[8, 11],16.0,5426.446544637662
[8, 12],16.0,5424.293643256719
[8, 13],18.0,5424.382930622906
[8, 14],17.0,5425.934909422325
[8, 15],20.0,5430.725563863766
[8, 16],15.0,5444.7828695429935
[8, 17],16.0,5464.621323634362
[8, 18],13.0,5488.868091454384
[8, 19],10.0,5514.088133813553
[8, 20],8.0,5537.221460932317
[8, 21],6.0,5565.427545302041
[9, 0],5.0,5170.332184872161
[9, 1],5.0,5207.073220401465
[9, 2],4.0,5245.6841143304455
[9, 3],5.0,5288.299119119354
[9, 4],5.0,5332.207102130656
[9, 5],7.0,5368.099366077063
[9, 6],7.0,5400.4022096759545
[9, 7],9.0,5423.6584079112645
[9, 8],11.0,5437.826929028509
[9, 9],13.0,5449.106386897913
[9, 10],15.0,5447.077012961114
[9, 11],16.0,5443.176343672098
[9, 12],16.0,5440.16497587503
[9, 13],19.0,5436.285260658622
[9, 14],14.0,5432.160292779977
[9, 15],18.0,5435.243081426139
[9, 16],17.0,5445.138233591472
[9, 17],15.0,5459.102364333599
[9, 18],13.0,5478.340881999983
[9, 19],9.0,5504.721767808998
[9, 20],9.0,5532.980428731285
[9, 21],8.0,5561.294700446195
[10, 0],5.0,5173.812544796926
[10, 1],4.0,5215.80172431906
[10, 2],4.0,5256.068192356346
[10, 3],5.0,5303.235098003588
[10, 4],7.0,5348.328229218179
[10, 5],7.0,5387.902161261904
[10, 6],11.0,5421.464623114808
[10, 7],11.0,5444.919615925658
[10, 8],11.0,5461.136517016474
[10, 9],14.0,5469.285391142319
[10, 10],15.0,5468.974511075131
[10, 11],16.0,5464.962487756089
[10, 12],18.0,5460.507009212307
