grid_point, number_obs_available, analysis_value
[0, 0],18.0,5307.806588666798
[0, 1],15.0,5345.039768545727
[0, 2],15.0,5364.247433326513
[0, 3],15.0,5388.491284185251
[0, 4],16.0,5405.54287915895
[0, 5],13.0,5421.698865959188
[0, 6],15.0,5441.471574477257
[0, 7],14.0,5477.872067749244
[0, 8],16.0,5494.759518286468
[0, 9],14.0,5526.493711624149
[0, 10],14.0,5544.425720269806
[0, 11],15.0,5564.6152599711495
[0, 12],14.0,5592.652552643056
[0, 13],14.0,5605.537823498889
[0, 14],14.0,5640.15224602088
[0, 15],13.0,5679.693472805055
[0, 16],12.0,5721.497122674278
[0, 17],12.0,5767.771027455514
[0, 18],13.0,5822.334119502804
[0, 19],10.0,5820.562812120421
[0, 20],9.0,5854.2011838336475
[0, 21],8.0,5994.244538158178
[1, 0],16.0,5309.583075009049
[1, 1],15.0,5327.223938495003
[1, 2],14.0,5358.32656086401
[1, 3],16.0,5382.2195295867705
[1, 4],14.0,5393.949740812546
[1, 5],15.0,5400.51569857846
[1, 6],15.0,5419.418901608822
[1, 7],16.0,5439.5631193773515
[1, 8],16.0,5452.3146637830005
[1, 9],17.0,5471.33545273322
[1, 10],17.0,5491.975900026642
[1, 11],17.0,5507.962268023091
[1, 12],18.0,5525.220931134136
[1, 13],18.0,5549.425248919868
[1, 14],17.0,5572.170515770493
[1, 15],16.0,5598.440768414359
[1, 16],16.0,5631.474645214592
[1, 17],14.0,5671.189260871644
[1, 18],13.0,5733.240729791054
[1, 19],11.0,5784.539756585291
[1, 20],10.0,5817.564411115774
[1, 21],8.0,5922.875843615271
[2, 0],14.0,5277.8851445923665
[2, 1],14.0,5307.022837719157
[2, 2],15.0,5327.850785744392
[2, 3],15.0,5358.701477463777
[2, 4],14.0,5364.877361376555
[2, 5],17.0,5372.143990649956
[2, 6],16.0,5388.729140940545
[2, 7],17.0,5412.195628180192
[2, 8],18.0,5421.539737778159
[2, 9],17.0,5432.2253814199785
[2, 10],19.0,5449.28991508867
[2, 11],18.0,5464.993954885302
[2, 12],20.0,5475.562310907628
[2, 13],19.0,5497.315017731739
[2, 14],19.0,5510.837350447065
[2, 15],18.0,5538.619438255593
[2, 16],18.0,5573.5502204105605
[2, 17],16.0,5605.999022808137
[2, 18],15.0,5651.5383618090855
[2, 19],13.0,5705.726310597929
[2, 20],11.0,5782.237960330487
[2, 21],8.0,5860.838224578183
[3, 0],14.0,5267.959270462634
