grid_point, number_obs_available, analysis_value
[7, 21],61.0,5599.433251554454
[8, 0],64.0,5274.605195855735
[8, 1],68.0,5296.525341715571
[8, 2],73.0,5316.966241907861
[8, 3],79.0,5334.888820247053
[8, 4],82.0,5343.742665697511
[8, 5],85.0,5358.1433415768315
[8, 6],87.0,5378.039441578203
[8, 7],88.0,5391.940265929441
[8, 8],90.0,5406.209074305025
[8, 9],86.0,5421.687406594816
[8, 10],86.0,5434.997843135317
[8, 11],85.0,5447.084001714458
[8, 12],86.0,5465.973166404496
[8, 13],84.0,5480.8845914341855
[8, 14],79.0,5490.956073284769
[8, 15],80.0,5507.415267826747
[8, 16],76.0,5517.718236250675
[8, 17],74.0,5531.133470557281
[8, 18],70.0,5541.284911597579
[8, 19],69.0,5560.118396773787
[8, 20],66.0,5575.282245262565
[8, 21],63.0,5600.077305920833
[9, 0],67.0,5263.696533914426
[9, 1],67.0,5289.714721513059
[9, 2],78.0,5313.655558001437
[9, 3],79.0,5336.152574447102
[9, 4],86.0,5356.725744063229
[9, 5],89.0,5360.896910692882
[9, 6],94.0,5383.883347145767
[9, 7],93.0,5400.995173721149
[9, 8],94.0,5416.757854193358
[9, 9],93.0,5432.965732420891
[9, 10],92.0,5454.007125681985
[9, 11],89.0,5463.161847292238
[9, 12],86.0,5476.490788587592
[9, 13],85.0,5496.661274582264
[9, 14],85.0,5510.974107778741
[9, 15],85.0,5526.4937192477655
[9, 16],83.0,5540.7058765212105
[9, 17],78.0,5550.955238308183
[9, 18],72.0,5552.023082500851
[9, 19],70.0,5567.289193004058
[9, 20],67.0,5587.456284928628
[9, 21],65.0,5609.564682383582
[10, 0],67.0,5263.991261229106
[10, 1],73.0,5291.834114082643
[10, 2],80.0,5323.29090029446
[10, 3],84.0,5341.693848056926
[10, 4],89.0,5362.968342924023
[10, 5],91.0,5367.714844102831
[10, 6],95.0,5388.946952922779
[10, 7],98.0,5412.3402794513
[10, 8],98.0,5433.139864472143
[10, 9],99.0,5452.983394500445
[10, 10],98.0,5473.287453185885
[10, 11],93.0,5481.872404486703
[10, 12],92.0,5497.64831334673
[10, 13],90.0,5514.581134355436
[10, 14],89.0,5528.714380955657
[10, 15],88.0,5542.8245134855
[10, 16],85.0,5557.661699748205
[10, 17],82.0,5569.730995934375
[10, 18],79.0,5579.201425171475
[10, 19],77.0,5594.984914387063
[10, 20],70.0,5614.760794935011
[10, 21],66.0,5617.779016857764
[11, 0],68.0,5277.124501348246
[11, 1],79.0,5304.366839862732
[11, 2],79.0,5333.310819983539
[11, 3],86.0,5350.276533322789
[11, 4],89.0,5374.919845356742
[11, 5],93.0,5393.640115633849
[11, 6],97.0,5404.236378614432
[11, 7],100.0,5426.114170092909
[11, 8],102.0,5447.747547835148
[11, 9],99.0,5466.088378577226
[11, 10],98.0,5484.084749129082
[11, 11],98.0,5500.5304211210205
[11, 12],94.0,5516.793881272343
[11, 13],92.0,5531.573087453687
[11, 14],92.0,5546.092813261003
[11, 15],89.0,5560.010270515671
[11, 16],87.0,5573.8755435424855
[11, 17],84.0,5585.59641320329
[11, 18],80.0,5594.052834971816
[11, 19],77.0,5612.070741800242
[11, 20],76.0,5630.269010396399
[11, 21],70.0,5651.314779118839
[12, 0],71.0,5280.961633802221
[12, 1],77.0,5308.696944314233
[12, 2],81.0,5338.91390792669
[12, 3],86.0,5363.630177147972
[12, 4],89.0,5394.905585794235
[12, 5],97.0,5404.375495857144
[12, 6],101.0,5423.153678579716
